NAME,BRAND,BARCODE,SKU CODE,PRODUCT CODE,HSN CODE,PLU NO,COST PRICE,MRP,SALE PRICE,WHOLESALE PRICE,SPECIAL PRICE,ONLINE PRICE,WEIGHT,QUANTITY,EXPIRED QUANTITY,NEAR EXPIRY QUANTITY,TAX,TYPE,CESS,CESS ON,CESS TYPE,TAX AMOUNT,TAXABLE VALUE,CESS TAX AMOUNT,ADDITIONAL CESS TAX AMOUNT,SUPPLIER,DISCOUNT(₹),DISCOUNT(%),ACTUAL MARGIN (₹),MARGIN ON CP (%),MARGIN ON SP (%),CATEGORY,SUB CATEGORY,INSTOCK VALUE
DABUR RED PASTE 2X150g,,,,,,PLU004,119.54,175,175,170,170,175,1 pc,6,0,0,0,CGST + SGST,0,1,1,0,1050,0,0,,0,0,55.46,46.395,31.691,Miscellaneous,Miscellaneous,750
DABUR RED PASTE 2X150g,,8901207027376,,,,PLU002,119.54,200,175,175,175,175,1 pc,-6,0,0,0,CGST + SGST,0,1,1,0,-1050,0,0,,25,12.5,55.46,46.395,31.691,Miscellaneous,Miscellaneous,-742.5
HAJMOLA AMLA 120TAB,,8901207900839,,,,PLU001,44.75,55,55,55,55,55,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10.25,22.905,18.636,Miscellaneous,Miscellaneous,0
MESWAK PURE MISWAK 200gx3,,8901207033483,,,,PLU001,235.86,306,300,300,300,300,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,6,1.961,64.14,27.194,21.38,Miscellaneous,Miscellaneous,0
DOMEX TOILET CLEANING POWDER 10,,8901030915093,,,,PLU001,8.75,10,10,10,10,10,1 pc,131,0,0,0,CGST + SGST,0,1,1,0,1310,0,0,,0,0,1.25,14.286,12.5,Miscellaneous,Miscellaneous,1146
NATURES ALOE  GEL,,8904049711083,,,,PLU002,45,60,58,58,58,58,1 pc,13,0,0,0,CGST + SGST,0,1,1,0,754,0,0,,2,3.333,13,28.889,22.414,Miscellaneous,Miscellaneous,630.92
TOP UP BADAM MILK,,8906001023388,,,,PLU001,27,30,30,30,30,30,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,30,0,0,,0,0,3,11.111,10,Miscellaneous,Miscellaneous,27
ELITE 30GM PLPCH CHOCOLATE CENTOZ CHOCOLA CREAM FILLED CUP CAKE,ELITE,8906009992914,,,,PLU001,9,10,10,10,10,10,30 g,7,0,0,0,CGST + SGST,0,1,1,0,70,0,0,,0,0,1,11.111,10,"BAKERY, CAKES & DAIRY","BAKERY SNACKS, CAKES & PASTRIES",63
BINGO POTATO CHIPS,,8901725111649,,,,PLU001,18,20,20,20,20,20,1 pc,3,0,0,0,CGST + SGST,0,1,1,0,60,0,0,,0,0,2,11.111,10,Miscellaneous,Miscellaneous,54
PEANUT CHIKKI,,8906097930805,,,,PLU001,37,50,50,50,50,50,1 pc,23,0,0,0,CGST + SGST,0,1,1,0,1150,0,0,,0,0,13,35.135,26,Miscellaneous,Miscellaneous,731
BAMBINO ROSTED VERMICILLI 500g,,8904287000345,,,,PLU001,59,65,64,64,64,64,1 pc,15,0,0,0,CGST + SGST,0,1,1,0,960,0,0,,1,1.538,5,8.475,7.813,Miscellaneous,Miscellaneous,885
BAMBINO ROSTED VERMICILLI 500g,,8904287000345,,,,PLU002,59,70,65,65,65,65,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,65,0,0,,5,7.143,6,10.169,9.231,Miscellaneous,Miscellaneous,54
MAMA EARTH ONION HAIR OIL 150ml,,8906087771883,,,,PLU002,325,419,395,395,395,395,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,395,0,0,,24,5.728,70,21.538,17.722,Miscellaneous,Miscellaneous,325
MAMA EARTH ONION SHAMPOO 250ml,,8906087771807,,,,PLU001,270,349,315,315,315,315,1 pc,4,0,0,0,CGST + SGST,0,1,1,0,1260,0,0,,34,9.742,45,16.667,14.286,Miscellaneous,Miscellaneous,1050
CINTU 390GM PLPCH CHOCO ECLAIRS+FR TATTOO,CINTU,8906071881154,,,,PLU001,75,100,98,98,98,98,390 g,1,0,0,0,CGST + SGST,0,1,1,0,98,0,0,,2,2,23,30.667,23.469,SNACKS & BRANDED FOODS,CHOCOLATES & CANDIES,75
KIT KAT CHEERFUL BREAK,,8901058875676,,,,PLU001,28,30,30,30,30,30,1 pc,4,0,0,0,CGST + SGST,0,1,1,0,120,0,0,,0,0,2,7.143,6.667,Miscellaneous,Miscellaneous,112
NESCAFE 5*200 GM PPH SUNRISE EXTRA EXT STRCPS VLU+FR MILK BIKIS 5*73G,SUNRISE EXTRA,8901058855777,,,,PLU001,673.93,835,825,824.98,824.98,825,1000 g,2,0,0,0,CGST + SGST,0,1,1,0,1650,0,0,,10,1.198,151.07,22.416,18.312,BEVERAGES,ENERGY & SOFT DRINKS,1403.93
NESCAFE 5*200 GM PPH SUNRISE EXTRA EXT STRCPS VLU+FR MILK BIKIS 5*73G,SUNRISE EXTRA,8901058855777,,,,PLU002,673.93,915,910,904.02,904.02,910,1000 g,1,0,0,0,CGST + SGST,0,1,1,0,910,0,0,,5,0.546,236.07,35.029,25.942,BEVERAGES,ENERGY & SOFT DRINKS,854
MAGGI VEG ATTA 72g,,8901058903904,,,,PLU001,88,94,92,92,92,92,1 pc,4,0,0,0,CGST + SGST,0,1,1,0,368,0,0,,2,2.128,4,4.545,4.348,Miscellaneous,Miscellaneous,352
FOGG ROYAL SPRAY,,8904238302290,,,,PLU001,125,150,150,148,148,150,1 pc,2,0,0,0,CGST + SGST,0,1,1,0,300,0,0,,0,0,25,20,16.667,Miscellaneous,Miscellaneous,250
HERTIAGE PISTA ICE CREAM,,8904089974899,,,,PLU001,9,10,10,10,10,10,1 pc,5,0,0,0,CGST + SGST,0,1,1,0,50,0,0,,0,0,1,11.111,10,Miscellaneous,Miscellaneous,45
HERTIAGE VANNILIA ICE CREAM ,,8904089974301,,,,PLU001,9,10,10,10,10,10,1 pc,12,0,0,0,CGST + SGST,0,1,1,0,120,0,0,,0,0,1,11.111,10,Miscellaneous,Miscellaneous,108
ARUN TRIO MANGO ICE CREAM,,8904057300408,,,,PLU001,22,25,25,25,25,25,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,25,0,0,,0,0,3,13.636,12,Miscellaneous,Miscellaneous,22
ARUN COOKES ICE CREAM ,,8904057303676,,,,PLU001,150,170,170,170,170,170,1 pc,14,0,0,0,CGST + SGST,0,1,1,0,2380,0,0,,0,0,20,13.333,11.765,Miscellaneous,Miscellaneous,2100
HERTIAGE BLACK CURRENT ICE CREAM,,8904089373043,,,,PLU001,140,150,150,150,150,150,1 pc,16,0,0,0,CGST + SGST,0,1,1,0,2400,0,0,,0,0,10,7.143,6.667,Miscellaneous,Miscellaneous,2240
HERTIAGE MINI CHOCOBAR,,8904089969291,,,,PLU001,8,10,10,10,10,10,1 pc,22,0,0,0,CGST + SGST,0,1,1,0,220,0,0,,0,0,2,25,20,Miscellaneous,Miscellaneous,176
HERTIAGE VANILLA ICE CREAM,,8904089369978,,,,PLU001,110,120,120,120,120,120,1 pc,2,0,0,0,CGST + SGST,0,1,1,0,240,0,0,,0,0,10,9.091,8.333,Miscellaneous,Miscellaneous,220
HERTIAGE BELGIAN CHOCOLATE,,8904089369992,,,,PLU001,130,140,140,140,140,140,1 pc,3,0,0,0,CGST + SGST,0,1,1,0,420,0,0,,0,0,10,7.692,7.143,Miscellaneous,Miscellaneous,390
HERTIAGE RAJBHOG,,8904089374118,,,,PLU001,140,150,150,150,150,150,1 pc,3,0,0,0,CGST + SGST,0,1,1,0,450,0,0,,0,0,10,7.143,6.667,Miscellaneous,Miscellaneous,420
HERTIAGE STRAWBERRY ICE CREAM ,,8904089974318,,,,PLU001,7,10,10,10,10,10,1 pc,6,0,0,0,CGST + SGST,0,1,1,0,60,0,0,,0,0,3,42.857,30,Miscellaneous,Miscellaneous,42
HERTIAGE BUTTERSCOTCH,,8904089973007,,,,PLU001,30,35,35,35,35,35,1 pc,6,0,0,0,CGST + SGST,0,1,1,0,210,0,0,,0,0,5,16.667,14.286,Miscellaneous,Miscellaneous,180
HERTIAGE 2IN1,,8904089975216,,,,PLU001,12,15,15,15,15,15,1 pc,24,0,0,0,CGST + SGST,0,1,1,0,360,0,0,,0,0,3,25,20,Miscellaneous,Miscellaneous,288
HERTIAGE DOUBLE CHOCOLATE,,8904089969826,,,,PLU001,35,40,40,40,40,40,1 pc,9,0,0,0,CGST + SGST,0,1,1,0,360,0,0,,0,0,5,14.286,12.5,Miscellaneous,Miscellaneous,315
HERTIAGE CHICO CHIPS,,8904089969888,,,,PLU001,17,20,20,20,20,20,1 pc,8,0,0,0,CGST + SGST,0,1,1,0,160,0,0,,0,0,3,17.647,15,Miscellaneous,Miscellaneous,136
ARUN ICE CREAM SMILLEY,,8904057300545,,,,PLU001,18,20,20,20,20,20,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,20,0,0,,0,0,2,11.111,10,Miscellaneous,Miscellaneous,18
HERTIAGE VANILLA,,8904089970006,,,,PLU001,27,30,30,30,30,30,1 pc,4,0,0,0,CGST + SGST,0,1,1,0,120,0,0,,0,0,3,11.111,10,Miscellaneous,Miscellaneous,108
HERTIAGE PISTA ,,8904089974936,,,,PLU001,27,30,30,30,30,30,1 pc,5,0,0,0,CGST + SGST,0,1,1,0,150,0,0,,0,0,3,11.111,10,Miscellaneous,Miscellaneous,135
HERTIAGE STRAWBERRY,,8904089972222,,,,PLU002,12,20,20,20,20,20,1 pc,6,0,0,0,CGST + SGST,0,1,1,0,120,0,0,,0,0,8,66.667,40,Miscellaneous,Miscellaneous,127
HERTIAGE BUTTER SCOTCH,,8904089969918,,,,PLU001,17,20,20,20,20,20,1 pc,11,0,0,0,CGST + SGST,0,1,1,0,220,0,0,,0,0,3,17.647,15,Miscellaneous,Miscellaneous,187
NATARAJ SCALE,,8901324580143,,,,PLU001,8,12,12,12,12,12,1 pc,104,0,0,0,CGST + SGST,0,1,1,0,1248,0,0,,0,0,4,50,33.333,Miscellaneous,Miscellaneous,832
APSARA PENCIL,,8901324055795,,,,PLU001,55,60,60,60,60,60,1 pc,8,0,0,0,CGST + SGST,0,1,1,0,480,0,0,,0,0,5,9.091,8.333,Miscellaneous,Miscellaneous,440
NATARAJ GLOW BALL PEN,,8901324053883,,,,PLU001,70,80,80,80,80,80,1 pc,4,0,0,0,CGST + SGST,0,1,1,0,320,0,0,,0,0,10,14.286,12.5,Miscellaneous,Miscellaneous,280
APSARA BOOKS,,8901324056082,,,,PLU001,40.62,65,62,62,62,62,1 pc,17,0,0,0,CGST + SGST,0,1,1,0,1054,0,0,,3,4.615,21.38,52.634,34.484,Miscellaneous,Miscellaneous,690.54
STYN TURMERIC POWDER 100 g,,,,,,PLU001,18,30,25,25,25,25,1 pc,13,0,0,0,CGST + SGST,0,1,1,0,325,0,0,,5,16.667,7,38.889,28,Miscellaneous,Miscellaneous,234
SNTY CHILLI POWDER 100g,,L101366,,,,PLU002,25,40,35,35,35,35,1 pc,38,0,0,0,CGST + SGST,0,1,1,0,1330,0,0,,5,12.5,10,40,28.571,Miscellaneous,Miscellaneous,955
SNTY CORINDER POWDER 100g,,,,,,PLU001,20,30,25,25,25,25,1 pc,7,0,0,0,CGST + SGST,0,1,1,0,175,0,0,,5,16.667,5,25,20,Miscellaneous,Miscellaneous,140
SNTY CHILLI POWDDR 500g,,,,,,PLU001,120,180,170,170,170,170,1 pc,8,0,0,0,CGST + SGST,0,1,1,0,1360,0,0,,10,5.556,50,41.667,29.412,Miscellaneous,Miscellaneous,960
SNTY TURMERIC POWDER 500g,,,,,,PLU001,110,150,140,140,140,140,1 pc,6,0,0,0,CGST + SGST,0,1,1,0,840,0,0,,10,6.667,30,27.273,21.429,Miscellaneous,Miscellaneous,660
MILK BIKIS BISCUITS ,,8901063012530,,,,PLU001,9,10,10,10,10,10,1 pc,-5,0,0,0,CGST + SGST,0,1,1,0,-50,0,0,,0,0,1,11.111,10,Miscellaneous,Miscellaneous,-45
MAGGI VEG ATTA NOODLES,,8901058901832,,,,PLU001,21.81,24,24,24,24,24,1 pc,-1,0,0,0,CGST + SGST,0,1,1,0,-24,0,0,,0,0,2.19,10.041,9.125,Miscellaneous,Miscellaneous,-21.81
MAGGI VEG MASALA,,8901058897838,,,,PLU002,14,14,14,14,14,14,1 pc,25,0,0,0,CGST + SGST,0,1,1,0,350,0,0,,0,0,0,0,0,Miscellaneous,Miscellaneous,351.35
SCOTCH BRITE SCRUB,,,,,,PLU001,9.05,10,10,10,10,10,1 pc,12,0,0,0,CGST + SGST,0,1,1,0,120,0,0,,0,0,0.95,10.497,9.5,Miscellaneous,Miscellaneous,108.6
SCOTCH BRITE SCRUB STAIN,,,,,,PLU001,13.2,15,15,15,15,15,1 pc,12,0,0,0,CGST + SGST,0,1,1,0,180,0,0,,0,0,1.8,13.636,12,Miscellaneous,Miscellaneous,158.4
MANGALDEEP TEMPLE 76,,8901725710460,,,,PLU001,39,50,47,45,45,47,1 pc,3,0,0,0,CGST + SGST,0,1,1,0,141,0,0,,3,6,8,20.513,17.021,Pooja Needs,Miscellaneous,117
PENCIL 1 N,,,,,,PLU002,3.5,6,6,6,6,6,1 pc,18,0,0,0,CGST + SGST,0,1,1,0,108,0,0,,0,0,2.5,71.429,41.667,Stationary Items,Miscellaneous,63
WINKLES MINI swiss Roll,,8906005618634,,,,PLU001,8,10,10,10,10,10,1 pc,16,0,0,0,CGST + SGST,0,1,1,0,160,0,0,,0,0,2,25,20,Miscellaneous,Miscellaneous,120
DAIRY MILK SILK BUBBLY 175,,7622201685638,,,,PLU001,157,175,175,175,175,175,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,175,0,0,,0,0,18,11.465,10.286,CHOCOLATES,Miscellaneous,157
DNV TURMERIC POWDER ,,,,,,PLU001,7.4,10,10,10,10,10,1 pc,10,0,0,0,CGST + SGST,0,1,1,0,100,0,0,,0,0,2.6,35.135,26,Food Items,Miscellaneous,74
APSARA TRIANGLE PENCIL,,,,,,PLU001,3.8,10,10,10,10,10,1 pc,20,0,0,0,CGST + SGST,0,1,1,0,200,0,0,,0,0,6.2,163.158,62,Stationary,Miscellaneous,76
APSARA TRIANGLE PENCIL,,,,,,PLU002,3.8,5,5,5,5,5,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,5,0,0,,0,0,1.2,31.579,24,Stationary,Miscellaneous,3.8
SCOTCH BRITE 10 rs,,8901361372558,,,,PLU001,9,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,1,11.111,10,Household Care,Miscellaneous,0
Good day pistha 10,,8901063094253,,,,PLU001,9,10,10,10,10,10,1 pc,20,0,0,0,CGST + SGST,0,1,1,0,200,0,0,,0,0,1,11.111,10,Biscuit,Miscellaneous,180
SWASTHIKS GINGER PICKLE 500g,,8904103030761,,,,PLU001,70.54,99,85,85,85,85,1 pc,4,0,0,0,CGST + SGST,0,1,1,0,340,0,0,,14,14.141,14.46,20.499,17.012,Miscellaneous,Miscellaneous,282.16
SWASTHIKS MANGO PICKLES 1kg,,8904103031935,,,,PLU001,120.54,175,165,165,165,165,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,10,5.714,44.46,36.884,26.945,READYMADE FOODS.,Miscellaneous,0
SWASTHIKS SAMBAR POWDER,,904103020250,,,,PLU001,26.67,47,45,45,45,45,1 pc,12,0,0,0,CGST + SGST,0,1,1,0,540,0,0,,2,4.255,18.33,68.729,40.733,HOME MADE,Miscellaneous,320.04
TREAT CROISSANT CREME,,8901063032507,,,,PLU001,18,20,20,20,20,20,1 pc,9,0,0,0,CGST + SGST,0,1,1,0,180,0,0,,0,0,2,11.111,10,READYMADE FOODS,Miscellaneous,162
TREAT VANILLA CREME,,8901063032514,,,,PLU001,18,20,20,20,20,20,1 pc,6,0,0,0,CGST + SGST,0,1,1,0,120,0,0,,0,0,2,11.111,10,READYMADE FOODS,Miscellaneous,108
DESI MANGO CANDY,,8909987299747,,,,PLU001,80,100,95,95,95,95,1 pc,42,0,0,0,CGST + SGST,0,1,1,0,3990,0,0,,5,5,15,18.75,15.789,READYMADE FOODS,Miscellaneous,3360
DESI KAMARKAT CANDY,,8909987299716,,,,PLU001,80,100,95,95,95,95,1 pc,44,0,0,0,CGST + SGST,0,1,1,0,4180,0,0,,5,5,15,18.75,15.789,READYMADE FOODS,Miscellaneous,3520
GRB GHEE 500ml,,8906010366902,,,,PLU003,361,425,410,410,410,410,1 pc,7,0,0,0,CGST + SGST,0,1,1,0,2870,0,0,,15,3.529,49,13.573,11.951,Oil/ghee,Miscellaneous,2589
SN 25,,,,,,PLU001,20,25,25,25,25,25,1 pc,150,0,0,0,CGST + SGST,0,1,1,0,3750,0,0,,0,0,5,25,20,Snacks,Miscellaneous,3000
Yerrakandi Badalu 500g,,L100386,,,,PLU001,55,70,70,70,70,70,1 pc,4,0,0,0,CGST + SGST,0,1,1,0,280,0,0,,0,0,15,27.273,21.429,Grocery,Miscellaneous,220
Borugulu 500g,,,,,,PLU003,32,50,40,40,40,40,1 pc,27,0,0,0,CGST + SGST,0,1,1,0,1080,0,0,,10,20,8,25,20,Grocery.,,864
Jio buket,,,,,,PLU001,95,235,180,180,180,180,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,55,23.404,85,89.474,47.222,Bathroom Accessories,Miscellaneous,0
Pappulu 250g,,L100336,,,,PLU002,18.5,33,25,25,25,25,1 pc,-9,0,0,0,CGST + SGST,0,1,1,0,-225,0,0,,8,24.242,6.5,35.135,26,Miscellaneous,Miscellaneous,-166.5
Pooja cake,,L100388,,,,PLU001,20,30,25,25,25,25,1 pc,26,0,0,0,CGST + SGST,0,1,1,0,650,0,0,,5,16.667,5,25,20,Food Items,Food Items,520
Broom 120,,,,,,PLU001,70,120,110,110,110,110,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,110,0,0,,10,8.333,40,57.143,36.364,Household,Miscellaneous,70
Broom125,,,,,,PLU001,70,125,110,110,110,110,1 pc,10,0,0,0,CGST + SGST,0,1,1,0,1100,0,0,,15,12,40,57.143,36.364,Household,Miscellaneous,700
Broom110,,,,,,PLU001,60,110,100,100,100,100,1 pc,10,0,0,0,CGST + SGST,0,1,1,0,1000,0,0,,10,9.091,40,66.667,40,Household,Miscellaneous,600
Broom 160 Five finger,,,,,,PLU001,80,160,140,140,140,140,1 pc,-3,0,0,0,CGST + SGST,0,1,1,0,-420,0,0,,20,12.5,60,75,42.857,Household,Miscellaneous,-240
Broom 108,,,,,,PLU001,60,108,90,90,90,90,1 pc,10,0,0,0,CGST + SGST,0,1,1,0,900,0,0,,18,16.667,30,50,33.333,Household,Miscellaneous,600
Broom140,,,,,,PLU001,70,140,120,120,120,120,1 pc,9,0,0,0,CGST + SGST,0,1,1,0,1080,0,0,,20,14.286,50,71.429,41.667,Household,Miscellaneous,630
Broom 190,,,,,,PLU002,120,280,190,190,190,190,1 pc,-7,0,0,0,CGST + SGST,0,1,1,0,-1330,0,0,,90,32.143,70,58.333,36.842,Household,Miscellaneous,-840
Broom 140,,,,,,PLU001,70,140,120,120,120,120,1 pc,-9,0,0,0,CGST + SGST,0,1,1,0,-1080,0,0,,20,14.286,50,71.429,41.667,Household,Miscellaneous,-630
GULAB JAL ROSE WATER 120ml,,8906010080112,,,,PLU001,35,40,40,40,40,40,1 pc,11,0,0,0,CGST + SGST,0,1,1,0,440,0,0,,0,0,5,14.286,12.5,BEAUTY PRODUCT,Miscellaneous,385
Dustbin pedal S,,L100389,,,,PLU001,130,230,195,195,195,195,1 pc,5,0,0,0,CGST + SGST,0,1,1,0,975,0,0,,35,15.217,65,50,33.333,Household,Miscellaneous,650
Dustbin big,,L100390,,,,PLU001,65,130,110,110,110,110,1 pc,5,0,0,0,CGST + SGST,0,1,1,0,550,0,0,,20,15.385,45,69.231,40.909,Household,Miscellaneous,325
Dustbin Small,,L100391,,,,PLU001,45,85,75,75,75,75,1 pc,7,0,0,0,CGST + SGST,0,1,1,0,525,0,0,,10,11.765,30,66.667,40,Household,Miscellaneous,315
Door mat small,,L100392,,,,PLU001,35,80,65,65,65,65,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,15,18.75,30,85.714,46.154,Household,Miscellaneous,0
Door mat Big,,L100393,,,,PLU001,45,95,75,75,75,75,1 pc,8,0,0,0,CGST + SGST,0,1,1,0,600,0,0,,20,21.053,30,66.667,40,Household,Miscellaneous,280
Door mat Big,,L100393,,,,PLU002,45,110,90,90,90,90,1 pc,-10,0,0,0,CGST + SGST,0,1,1,0,-900,0,0,,20,18.182,45,100,50,Household,Miscellaneous,-450
SUNDROP 100 GM PLJAR PEANUT BUTTER CRUNCHY+RS 5 OFF,SUNDROP,8901512141408,,,,PLU001,44.5,50,50,50,50,50,100 g,2,0,0,0,CGST + SGST,0,1,1,0,100,0,0,,0,0,5.5,12.36,11,SNACKS & BRANDED FOODS,"SPREADS, SAUCES, KETCHUP",89
Sundrop Oats 20,,8901512915504,,,,PLU001,18,20,20,20,20,20,1 pc,-3,0,0,0,CGST + SGST,0,1,1,0,-60,0,0,,0,0,2,11.111,10,Grocery,Miscellaneous,-54
Sundrop Duo 10,,8901512926401,,,,PLU001,8.8,10,10,10,10,10,1 pc,11,0,0,0,CGST + SGST,0,1,1,0,110,0,0,,0,0,1.2,13.636,12,Grocery,Miscellaneous,96.8
ACT II [EXTSNK] 8 GM PLPCH SWEET & SALTY CRISPY CRUNC POPCORN+4GM FREE,ACT II CRISPY N CRUNCHY POPCOR,8901512565204,,,,PLU001,4.2,5,5,5,5,5,12 g,3,0,0,0,CGST + SGST,0,1,1,0,15,0,0,,0,0,0.8,19.048,16,"BAKERY, CAKES & DAIRY","BAKERY SNACKS, CAKES & PASTRIES",12.6
ACT II [EXTSNK] 8 GM PLPCH CRISPY CRUNCHY POPCORN BUTTER+4 GM FREE,ACT II CRISPY N CRUNCHY POPCOR,8901512562500,,,,PLU001,4.2,5,5,5,5,5,12 g,13,0,0,0,CGST + SGST,0,1,1,0,65,0,0,,0,0,0.8,19.048,16,"BAKERY, CAKES & DAIRY","BAKERY SNACKS, CAKES & PASTRIES",54.6
Snack puff 5,,8901512928108,,,,PLU001,4.2,5,5,5,5,5,1 pc,10,0,0,0,CGST + SGST,0,1,1,0,50,0,0,,0,0,0.8,19.048,16,Snacks,Miscellaneous,42
Snack juicy tamato,,8901512927903,,,,PLU001,4.2,5,5,5,5,5,1 pc,7,0,0,0,CGST + SGST,0,1,1,0,35,0,0,,0,0,0.8,19.048,16,Savouries & Snacks,Miscellaneous,29.4
Snack Mm,,8901512928207,,,,PLU001,4.2,5,5,5,5,5,1 pc,7,0,0,0,CGST + SGST,0,1,1,0,35,0,0,,0,0,0.8,19.048,16,Snacks,Miscellaneous,29.4
ACT II [EXTSNK] 8 GM PLPCH CRSP POPCORN SIMPLY SALTED SUPER VALU+4G FR,ACT II CRISPY N CRUNCHY POPCOR,8901512563200,,,,PLU001,4.2,5,5,5,5,5,12 g,3,0,0,0,CGST + SGST,0,1,1,0,15,0,0,,0,0,0.8,19.048,16,"BAKERY, CAKES & DAIRY","BAKERY SNACKS, CAKES & PASTRIES",12.6
Rock Salt,,8908003338347,,,,PLU002,49,70,65,65,65,65,1 pc,-2,0,0,0,CGST + SGST,0,1,1,0,-130,0,0,,5,7.143,16,32.653,24.615,Miscellaneous,Miscellaneous,-98
Omu Water,,8908003338132,,,,PLU001,34,40,40,40,40,40,1 pc,2,0,0,0,CGST + SGST,0,1,1,0,80,0,0,,0,0,6,17.647,15,Healthy,Miscellaneous,68
Custor Oil,,8908003338316,,,,PLU001,60,70,70,70,70,70,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,16.667,14.286,HAIR CARE,Miscellaneous,0
Nyle Anti Drandruff shampoo 400ml,,8902979054010,,,,PLU001,215,232,230,230,230,230,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,230,0,0,,2,0.862,15,6.977,6.522,HAIR CARE,Miscellaneous,215
Bucket Chetan 20L,,L100395,,,,PLU001,180,300,260,260,260,260,1 pc,6,0,0,0,CGST + SGST,0,1,1,0,1560,0,0,,40,13.333,80,44.444,30.769,Miscellaneous,Miscellaneous,1080
Bucket mittu 20Li,,L100397,,,,PLU001,135,240,210,210,210,210,1 pc,-1,0,0,0,CGST + SGST,0,1,1,0,-210,0,0,,30,12.5,75,55.556,35.714,Household,Miscellaneous,-135
Stool Mittu 5 leg Hevey,,L100399,,,,PLU002,240,450,390,390,390,390,1 pc,3,0,0,0,CGST + SGST,0,1,1,0,1170,0,0,,60,13.333,150,62.5,38.462,Household,Miscellaneous,720
Mat double Suhani 6*6 H,,L100932,,,,PLU002,240,380,340,340,340,340,1 pc,3,0,0,0,CGST + SGST,0,1,1,0,1020,0,0,,40,10.526,100,41.667,29.412,Household,Miscellaneous,720
Cycle 3in1 10rs,,8901751016710,,,,PLU001,8.3,10,10,10,10,10,1 pc,10,0,0,0,CGST + SGST,0,1,1,0,100,0,0,,0,0,1.7,20.482,17,POOJA NEEDS,Miscellaneous,83
Priya Wheat Rawa,,8904246950223,,,,PLU002,57,65,62,62,62,62,1 pc,19,0,0,0,CGST + SGST,0,1,1,0,1178,0,0,,3,4.615,5,8.772,8.065,Groceries,Miscellaneous,1083
Priya Popular Wheat Rawa,,8904246950230,,,,PLU002,63,62,61,61,61,61,1 pc,5,0,0,0,CGST + SGST,0,1,1,0,305,0,0,,1,1.613,-2,-3.175,-3.279,Grocery,Miscellaneous,315
Priya Popular Wheat Rawa,,8904246950230,,,,PLU001,63,68,68,68,68,68,1 pc,11,0,0,0,CGST + SGST,0,1,1,0,748,0,0,,0,0,5,7.937,7.353,Grocery,Miscellaneous,693
GOOD HOME [LIQUID] 160GM TNSPR DREAMS OF DEW LAVENDER,GOOD HOME,8902618000682,,,,PLU001,97,160,145,144.992,144.992,145,160 g,6,0,0,0,CGST + SGST,0,1,1,0,870,0,0,,15,9.375,48,49.485,33.103,CLEANING & HOUSEHOLD,FRESHENERS & REPELLENTS,582
GOOD HOME 50 GM PLPCH UNBLOX SUPER STRONG DRAIN CLEANER,GOOD HOME,8902618000613,,,,PLU001,16,25,23,23,23,23,50 g,15,0,0,0,CGST + SGST,0,1,1,0,345,0,0,,2,8,7,43.75,30.435,CLEANING & HOUSEHOLD,FRESHENERS & REPELLENTS,240
Parle 2in1 Eclairs,,8901719122408,,,,PLU001,42.49,50,50,50,50,50,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,7.51,17.675,15.02,CHOCOLATES & WAFERS,Miscellaneous,-10.57
BISLERI\PLAIN WATER\PET 2000 ML-  9,BISLERI,8906017290064,,,,PLU001,23,30,30,30,30,30,2000 ml,14,0,0,0,CGST + SGST,0,1,1,0,420,0,0,,0,0,7,30.435,23.333,BEVERAGES,WATER,322
PARLE [HB CNDY] 289 GM PLPCH MANGO BITE WITH JUICY MANGO TASTE,MANGO BITE,8901719210419,,,,PLU001,42.5,50,50,50,50,50,289 g,-5,0,0,0,CGST + SGST,0,1,1,0,-250,0,0,,0,0,7.5,17.647,15,SNACKS & BRANDED FOODS,MINTS & TOFFEES,-212.5
Kit Kat 25,,8901058904741,,,,PLU001,22,25,25,25,25,25,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,25,0,0,,0,0,3,13.636,12,CHOCOLATES & WAFERS,Miscellaneous,8
