NAME,BRAND,BARCODE,SKU CODE,PRODUCT CODE,HSN CODE,PLU NO,COST PRICE,MRP,SALE PRICE,WHOLESALE PRICE,SPECIAL PRICE,ONLINE PRICE,WEIGHT,QUANTITY,EXPIRED QUANTITY,NEAR EXPIRY QUANTITY,TAX,TYPE,CESS,CESS ON,CESS TYPE,TAX AMOUNT,TAXABLE VALUE,CESS TAX AMOUNT,ADDITIONAL CESS TAX AMOUNT,SUPPLIER,DISCOUNT(₹),DISCOUNT(%),ACTUAL MARGIN (₹),MARGIN ON CP (%),MARGIN ON SP (%),CATEGORY,SUB CATEGORY,INSTOCK VALUE
Sri Surya Chilli Powder 500g,,9874752472146,,,,PLU001,,210,180,179,179,180,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,30,14.286,180,0,100,Miscellaneous,Miscellaneous,0
Sri Surya Turmeric 500g,,9874752472146,,,,PLU001,,120,80,80,80,80,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,40,33.333,80,0,100,Miscellaneous,Miscellaneous,0
Sri Surya Soda 100g,,9874752472146,,,,PLU001,,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,0,100,Miscellaneous,Miscellaneous,0
Sri Surya Soda 100g,,9874752472146,,,,PLU001,,15,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,33.333,10,0,100,Miscellaneous,Miscellaneous,0
Sri Surya Talimpu Ginjalu 100g,,9874752472146,,,,PLU001,,25,20,20,20,20,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,20,20,0,100,Miscellaneous,Miscellaneous,0
Srisurya Turmeric Powder 50g,,9874752472146,,,,PLU001,,15,12,12,12,12,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,3,20,12,0,100,Miscellaneous,Miscellaneous,0
Srisurya Special Pickle C\p 500g,,9874752472146,,,,PLU001,,220,180,180,180,180,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,40,18.182,180,0,100,Miscellaneous,Miscellaneous,0
Meena Super Hand Rub 100ml,,9781405234788,,,,PLU001,,75,60,60,60,60,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,15,20,60,0,100,Miscellaneous,Miscellaneous,0
Burgot Instant Sanitizer 50 Ml,,9781405234788,,,,PLU001,,35,30,30,30,30,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,14.286,30,0,100,Miscellaneous,Miscellaneous,0
Faiza 60 G,,9781405234788,,,,PLU001,,847,450,450,450,450,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,397,46.871,450,0,100,Miscellaneous,Miscellaneous,0
